customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00000,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,107.47,4516.0,No
CUST_00001,Female,1,Yes,Yes,68,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,92.78,6259.49,No
CUST_00002,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),82.55,5077.15,No
CUST_00003,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),30.21,2088.72,No
CUST_00004,Male,0,Yes,No,64,No,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,24.96,1647.02,No
CUST_00005,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.21,5479.51,No
CUST_00006,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Mailed check,69.8,3729.28,Yes
CUST_00007,Male,0,No,No,35,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),117.44,4098.61,No
CUST_00008,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),104.07,7247.34,Yes
CUST_00009,Female,0,No,No,14,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),75.58,1092.33,No
CUST_00010,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,30.05,526.6,No
CUST_00011,Male,0,No,No,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,27.92,47.03,No
CUST_00012,Male,0,No,No,10,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),64.63,639.9,No
CUST_00013,Male,0,No,No,5,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,33.08,137.94,No
CUST_00014,Female,0,Yes,No,50,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,87.2,4376.67,No
CUST_00015,Male,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,22.76,1293.77,No
CUST_00016,Female,0,No,Yes,59,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,118.38,6964.26,No
CUST_00017,Female,0,No,No,17,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Electronic check,113.53,1935.66,No
CUST_00018,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),79.01,5255.19,No
CUST_00019,Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),38.0,599.52,No
CUST_00020,Female,1,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,46.51,1581.43,No
CUST_00021,Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),47.74,1405.63,No
CUST_00022,Female,0,Yes,No,18,Yes,No phone service,No,No,No,No,No internet service,No,No,Two year,No,Electronic check,36.82,673.02,No
CUST_00023,Female,1,No,Yes,8,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,One year,No,Credit card (automatic),29.11,188.85,Yes
CUST_00024,Female,0,No,No,39,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,84.97,3344.84,No
CUST_00025,Female,0,No,No,43,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,93.53,4039.04,No
CUST_00026,Female,0,No,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,42.68,2438.13,No
CUST_00027,Female,0,No,No,24,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,94.61,2221.7,Yes
CUST_00028,Female,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),34.66,2469.77,No
CUST_00029,Female,0,No,No,52,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,41.53,2129.41,No
CUST_00030,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,97.22,4561.54,Yes
CUST_00031,Male,0,Yes,Yes,70,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,116.75,8164.38,Yes
CUST_00032,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),96.56,4979.72,No
CUST_00033,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,37.94,1851.54,No
CUST_00034,Female,0,No,No,42,No,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.09,2030.15,No
CUST_00035,Male,0,Yes,No,18,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,82.61,1490.49,No
CUST_00036,Female,1,No,No,65,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),114.43,7474.24,No
CUST_00037,Male,0,Yes,No,33,No,No phone service,No,No,No,Yes,No,No internet service,No,Two year,No,Mailed check,118.46,3950.21,No
CUST_00038,Male,1,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,77.35,5532.07,Yes
CUST_00039,Male,0,Yes,No,53,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),62.08,3309.0,No
CUST_00040,Male,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),42.42,0.0,Yes
CUST_00041,Male,0,No,Yes,54,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),25.7,1415.84,No
CUST_00042,Female,0,No,No,14,No,No phone service,Fiber optic,No,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),49.02,647.96,No
CUST_00043,Female,0,Yes,Yes,14,No,No phone service,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.55,1012.5,Yes
CUST_00044,Female,0,Yes,Yes,22,No,No,No,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),82.52,1786.74,No
CUST_00045,Female,0,No,No,65,No,Yes,No,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,51.42,3354.6,No
CUST_00046,Female,1,Yes,No,45,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),114.91,5187.75,No
CUST_00047,Male,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,27.53,262.1,No
CUST_00048,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No,One year,Yes,Mailed check,89.66,5785.31,No
CUST_00049,Female,0,Yes,No,65,Yes,Yes,No,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),56.08,3663.62,Yes
CUST_00050,Male,0,No,No,17,Yes,Yes,No,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),96.73,1595.66,No
CUST_00051,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,102.31,1637.89,No
CUST_00052,Male,0,No,No,71,No,Yes,No,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,91.24,6474.09,Yes
CUST_00053,Female,1,Yes,No,33,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),75.66,2451.28,No
CUST_00054,Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,25.82,1724.44,No
CUST_00055,Female,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,32.22,2060.04,No
CUST_00056,Female,0,No,No,43,Yes,No,No,No,No internet service,Yes,No,Yes,No,One year,No,Electronic check,78.29,3346.88,Yes
CUST_00057,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,115.41,3229.69,No
CUST_00058,Male,0,Yes,No,61,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Two year,Yes,Electronic check,71.49,4350.32,No
CUST_00059,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),108.93,1602.51,No
CUST_00060,Male,0,Yes,No,51,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,111.5,5730.6,Yes
CUST_00061,Male,0,Yes,Yes,1,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),30.13,0.0,No
CUST_00062,Male,0,No,Yes,60,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,64.08,3841.02,No
CUST_00063,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.03,265.73,Yes
CUST_00064,Male,0,No,No,51,Yes,No,No,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,59.27,3039.44,No
CUST_00065,Female,0,No,No,40,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,47.64,1920.3,Yes
CUST_00066,Female,0,No,No,51,No,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,Two year,Yes,Mailed check,110.32,5645.99,Yes
CUST_00067,Male,1,No,Yes,30,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,78.32,2349.52,No
CUST_00068,Female,1,No,No,25,No,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,81.44,1997.07,Yes
CUST_00069,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,88.58,2303.41,No
CUST_00070,Female,0,No,No,50,No,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),116.26,5850.92,Yes
CUST_00071,Female,0,Yes,No,47,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Electronic check,80.15,3749.93,No
CUST_00072,Male,0,No,No,10,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),19.64,235.02,Yes
CUST_00073,Female,1,No,Yes,7,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),115.6,829.48,No
